"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13985.8299795359","13390.1568306998","12580.941147841","12633.6688964057","12837.8843426654","13044.1429426756","13507.3795795584","14087.7150021795","14550.52191946","14538.7042224796","15126.207219188","14715.1263863136","14780.6027624399","15052.165770575","15211.8528469745","15754.2046366101","16647.6279434677","16918.7529732104","16951.3254931409","16034.253649995","15598.1969462176","15444.0576644016","15338.6963267547","15084.9919527712","15043.7299095614","15388.5820796331","15752.3755112854","15800.4243054551","15615.7091640156","15499.8082056746","13316.4873926609","13487.101890443",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71232.7894299057","71405.3781168295","72705.7280387677","70908.808193536","71176.3419341277","72446.9016285935","72695.1521137332","69939.9771764035","67986.1383522654","68540.8209299076","69022.8801555068","69483.9048609962","70771.5988195667","71483.1808953436","70616.6200359784","69787.8222042953","71843.5233564564","71051.7107888333","68856.1616923591","66851.1170370043","67753.4217667143","69388.8131973129","69090.341492818","66715.6926477592","64190.8241471541","63147.4834900843","60867.2918657417","60994.5315563275","60389.1846472589","62098.011379516","62200.8820427958","60640.9734447064",
"Bhutan","BTN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880.57165809795","2848.23881503317","2979.90744528359","3050.14095270966","3205.2913357816","3414.55075456272","3559.02916248669","3680.66534075738","3810.85978074076","4018.92748886381","4061.4990262661","4308.52560449866","4686.01084721764","4957.52912891143","5165.17346931653","5456.70774972036","5761.7501411583","6743.04653246607","6995.7793047569","7393.91785456585","8190.57622279014","8744.95764294872","9084.00445533749","9163.5635511192","9574.0290039124","10086.0727954667","10775.1903107625","11142.4746724654","11348.4419521","11864.766246616","10551.4518495504","",
"Botswana","BWA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8431.73927615382","8790.35358008549","8799.82841332263","8740.4415048208","8836.78667368369","9232.0096115862","9539.38361711505","10094.1360730111","9911.13606631229","10636.8463962322","10629.9469194072","10457.1481847579","10896.8827357919","11205.3999815671","11305.5734349495","11600.3295020297","12318.3620351772","13056.6725330635","13581.1689882441","12298.8321546786","13126.2146968993","13724.6713485682","14166.544263062","15597.6174164139","16042.0524931341","14895.9049840115","15654.6818325969","15948.0320233624","16222.407448116","16404.4449053264","14667.8037179871","16023.8546161195",
"Central African Republic","CAF","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1201.67466482263","1165.24025915045","1060.63824569914","1033.83095855892","1053.74593400989","1098.89456102112","1027.6500375198","1055.25775055814","1078.45382610606","1091.36082709233","1040.10383462572","1062.72230628262","1077.95412734811","998.99994514318","1037.84466970449","1026.91390767575","1055.08733366913","1082.68664802488","1085.44025590048","1161.19001087794","1201.35219681679","1242.71480100483","1300.28880967492","824.943275653475","822.611194894812","852.749236638592","884.495196541199","912.803045335037","933.10995060419","946.059656562776","937.856470142936","928.943927234966",
"Canada","CAN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34034.4551755858","34697.0905797393","35782.6902642664","37194.3956032859","37309.6497953194","38169.1063580352","39268.2124283808","40426.2313340311","42046.8695832654","43358.1823908414","45888.4763265252","45851.6302484565","44003.6170419636","44861.5239641879","45822.5964338567","46126.5138859002","46704.7622355677","47564.609109622","47522.1406673151","47457.5853457244","48317.1745835151","48962.4815108923","49171.5110858739","46064.2539577156","47903.0289106506",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13987.6801547447","12640.9155910843","12385.0715066558","12581.3816195974","13094.1252219451","13858.018468421","14518.0381041197","14803.8713285761","15208.1847528915","15497.4910388587","16198.8954026933","16825.2898229772","17557.4722754837","18320.2729274857","19472.6466126166","20496.9038156733","21904.1616600886","23391.8876476513","24456.4749871707","23676.9093549449","24116.2380754687","24913.4265047102","25177.0306724564","25566.8653042485","26389.2982816526","27483.6765959629","28419.3238655925","29901.2960330412","31308.7536427627","32642.845215247","31493.0133288898","33413.550013617",
"Switzerland","CHE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56329.2156537801","55120.114761489","54491.9003501515","53929.8585175625","54181.0025661726","54078.9523123655","54106.5708566646","55201.2047714786","56724.5051705921","57440.0535738178","59389.4240602209","59944.7769214821","59489.7480583928","59022.3524143811","60271.9324146596","61613.3910520748","63686.2482388777","65641.7106078648","66598.8593697765","64404.0798614014","65819.7372527487","66342.0108170701","66440.2870236648","66877.1630488424","67682.6861750714","68025.9200383988","68663.2438230835","69103.570264696","70597.2920689752","70944.3548128194","68755.4370332082","70792.65653455",
"Channel Islands","CHI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9751.70539383466","10340.8903291281","11307.469398894","11857.9281686112","12259.7500972939","13155.73531157","13851.8030985775","14675.6290490169","15093.7090004871","14868.6902435606","15425.2484933853","15733.5733614099","16063.252361401","16646.5866259","17574.3097020612","18407.3315924514","19315.9176895613","20098.2959728719","20637.6027402276","20191.8403740148","21152.4951629307","22245.9871392571","23388.9607048925","23927.4333196578","24099.2702881884","24329.6442352491","24430.2463266411","24411.5447695103","25034.8877616618","24931.1218807485","23239.3700619175","25821.1138456941",
